DRG,ID,Name,Street,City,State,Zip,Region,TotalDischarges,AveragedCoveredCharges,AverageTotalPayments,type,lat,lon
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,49,15609.81633,4482.183673,Inpatient,31.215235,-85.361458
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,55,31350.52727,8148.672727,Inpatient,31.215235,-85.361458
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,107,21096.94393,5832.738318,Inpatient,31.215235,-85.361458
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,20,12034.15,4021.0,Inpatient,31.215235,-85.361458
202 - BRONCHITIS & ASTHMA W CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,29,21906.24138,4825.413793,Inpatient,31.215235,-85.361458
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,19,107347.5263,28246.68421,Inpatient,31.215235,-85.361458
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,86,53051.04651,12710.83721,Inpatient,31.215235,-85.361458
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,62,54708.17742,17711.45161,Inpatient,31.215235,-85.361458
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,44,56938.70455,14922.15909,Inpatient,31.215235,-85.361458
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,21,46950.14286,11537.66667,Inpatient,31.215235,-85.361458
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,38,84912.15789,18301.07895,Inpatient,31.215235,-85.361458
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,118,61844.9661,11087.40678,Inpatient,31.215235,-85.361458
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,32,55815.125,9887.6875,Inpatient,31.215235,-85.361458
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,17,46396.17647,10194.0,Inpatient,31.215235,-85.361458
252 - OTHER VASCULAR PROCEDURES W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,37,86504.43243,20657.2973,Inpatient,31.215235,-85.361458
253 - OTHER VASCULAR PROCEDURES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,49,64586.71429,13576.61224,Inpatient,31.215235,-85.361458
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,13,45614.84615,8932.538462,Inpatient,31.215235,-85.361458
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,84,40237.34524,10417.22619,Inpatient,31.215235,-85.361458
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,63,28963.80952,6693.84127,Inpatient,31.215235,-85.361458
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,33,27298.33333,4921.818182,Inpatient,31.215235,-85.361458
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,16,45796.5625,11327.5,Inpatient,31.215235,-85.361458
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,121,30576.78512,6271.826446,Inpatient,31.215235,-85.361458
291 - HEART FAILURE & SHOCK W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,136,34347.91176,8535.926471,Inpatient,31.215235,-85.361458
292 - HEART FAILURE & SHOCK W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,229,23352.07424,6045.816594,Inpatient,31.215235,-85.361458
293 - HEART FAILURE & SHOCK W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,41,14707.02439,3881.317073,Inpatient,31.215235,-85.361458
300 - PERIPHERAL VASCULAR DISORDERS W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,29,21299.34483,5532.241379,Inpatient,31.215235,-85.361458
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,17,10889.05882,4174.352941,Inpatient,31.215235,-85.361458
303 - ATHEROSCLEROSIS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,11,18901.63636,3297.727273,Inpatient,31.215235,-85.361458
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,61,25886.55738,7167.688525,Inpatient,31.215235,-85.361458
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,100,19155.11,4883.85,Inpatient,31.215235,-85.361458
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,83,13072.6988,3347.108434,Inpatient,31.215235,-85.361458
312 - SYNCOPE & COLLAPSE,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,69,18743.37681,4056.985507,Inpatient,31.215235,-85.361458
313 - CHEST PAIN,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,36,19540.55556,3428.583333,Inpatient,31.215235,-85.361458
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,40,35343.275,10161.9,Inpatient,31.215235,-85.361458
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,18,26014.66667,5787.222222,Inpatient,31.215235,-85.361458
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,28,108112.2857,29698.92857,Inpatient,31.215235,-85.361458
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,47,60062.12766,14427.68085,Inpatient,31.215235,-85.361458
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,17,27708.41176,7399.941176,Inpatient,31.215235,-85.361458
377 - G.I. HEMORRHAGE W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,45,41152.84444,10287.24444,Inpatient,31.215235,-85.361458
378 - G.I. HEMORRHAGE W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,119,22625.72269,5749.546218,Inpatient,31.215235,-85.361458
389 - G.I. OBSTRUCTION W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,53,22502.66038,5253.490566,Inpatient,31.215235,-85.361458
390 - G.I. OBSTRUCTION W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,22,18370.04545,4355.909091,Inpatient,31.215235,-85.361458
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,27,30981.0,6539.740741,Inpatient,31.215235,-85.361458
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,156,20609.24359,4370.314103,Inpatient,31.215235,-85.361458
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,32,28654.0625,5618.625,Inpatient,31.215235,-85.361458
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,26,42380.07692,10145.80769,Inpatient,31.215235,-85.361458
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,15,26190.13333,6612.4,Inpatient,31.215235,-85.361458
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,88,79955.22727,21572.10227,Inpatient,31.215235,-85.361458
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,14,65490.85714,18340.71429,Inpatient,31.215235,-85.361458
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,226,43444.03097,11806.10177,Inpatient,31.215235,-85.361458
473 - CERVICAL SPINAL FUSION W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,29,38770.44828,11485.7931,Inpatient,31.215235,-85.361458
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,24,45026.66667,16120.54167,Inpatient,31.215235,-85.361458
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,108,35220.98148,10517.74074,Inpatient,31.215235,-85.361458
491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,21,26738.52381,5593.428571,Inpatient,31.215235,-85.361458
552 - MEDICAL BACK PROBLEMS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,39,23609.25641,4787.153846,Inpatient,31.215235,-85.361458
602 - CELLULITIS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,13,32120.30769,8616.230769,Inpatient,31.215235,-85.361458
603 - CELLULITIS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,62,20552.08065,4869.0,Inpatient,31.215235,-85.361458
638 - DIABETES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,32,21175.8125,4678.4375,Inpatient,31.215235,-85.361458
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,33,25581.0,6426.393939,Inpatient,31.215235,-85.361458
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,45,19490.6,4231.155556,Inpatient,31.215235,-85.361458
682 - RENAL FAILURE W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,107,35164.42991,9022.700935,Inpatient,31.215235,-85.361458
683 - RENAL FAILURE W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,124,19925.46774,5752.879032,Inpatient,31.215235,-85.361458
684 - RENAL FAILURE W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,16,18211.0625,3723.75,Inpatient,31.215235,-85.361458
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,22,32679.22727,6892.909091,Inpatient,31.215235,-85.361458
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,64,20601.17188,4385.9375,Inpatient,31.215235,-85.361458
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,30,28252.76667,8619.1,Inpatient,31.215235,-85.361458
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,17,17647.47059,5443.0,Inpatient,31.215235,-85.361458
811 - RED BLOOD CELL DISORDERS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,23,32165.86957,7090.695652,Inpatient,31.215235,-85.361458
812 - RED BLOOD CELL DISORDERS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,59,19670.22034,4487.898305,Inpatient,31.215235,-85.361458
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,23,73419.78261,27425.6087,Inpatient,31.215235,-85.361458
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,24,129694.0417,33048.20833,Inpatient,31.215235,-85.361458
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,182,44643.01648,11123.38462,Inpatient,31.215235,-85.361458
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,94,25434.18085,6881.765957,Inpatient,31.215235,-85.361458
885 - PSYCHOSES,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,295,17627.12542,5175.623729,Inpatient,31.215235,-85.361458
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,47,12254.78723,3620.574468,Inpatient,31.215235,-85.361458
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,13,53962.0,9502.230769,Inpatient,31.215235,-85.361458
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,26,16583.15385,3645.423077,Inpatient,31.215235,-85.361458
948 - SIGNS & SYMPTOMS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,18,19081.72222,3822.444444,Inpatient,31.215235,-85.361458
0013 - Level II Debridement & Destruction,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,415,328.9756867,47.59937349,Outpatient,31.215235,-85.361458
0015 - Level III Debridement & Destruction,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,394,556.2029442,81.52695431,Outpatient,31.215235,-85.361458
0019 - Level I Excision/ Biopsy,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,16,4097.1325,315.94,Outpatient,31.215235,-85.361458
0020 - Level II Excision/ Biopsy,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,38,4123.556579,527.29,Outpatient,31.215235,-85.361458
0074 - Level IV Endoscopy Upper Airway,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,11,6015.466364,1300.539091,Outpatient,31.215235,-85.361458
0078 - Level III Pulmonary Treatment,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,126,127.0612698,88.33563492,Outpatient,31.215235,-85.361458
0096 - Level II Noninvasive Physiologic Studies,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,547,921.0525594,95.40840951,Outpatient,31.215235,-85.361458
0204 - Level I Nerve Injections,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,376,1882.918218,152.2266223,Outpatient,31.215235,-85.361458
0206 - Level II Nerve Injections,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,83,1297.195783,219.886506,Outpatient,31.215235,-85.361458
0207 - Level III Nerve Injections,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,3180,2287.344733,456.0483365,Outpatient,31.215235,-85.361458
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,654,4191.882645,703.8,Outpatient,31.215235,-85.361458
0265 - Level I Diagnostic and Screening Ultrasound,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,298,766.7961409,56.49778523,Outpatient,31.215235,-85.361458
0267 - Level III Diagnostic and Screening Ultrasound,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,1839,799.240484,137.8543284,Outpatient,31.215235,-85.361458
0269 - Level II Echocardiogram Without Contrast,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,991,1878.499243,362.1428961,Outpatient,31.215235,-85.361458
0270 - Level III Echocardiogram Without Contrast,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,66,3081.265152,506.73,Outpatient,31.215235,-85.361458
0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,1542,3448.072471,312.0995914,Outpatient,31.215235,-85.361458
